,Year,Month,Day,User Score,Title,Genre,Duration [minutes],Director,Lead_Actor_1,Lead_Actor_2,Budget [USD],Revenue [USD],Language,Classification
683,2020,Sep,25,77,The Trial of the Chicago 7 (2020),"['Drama', 'History']",130,Aaron Sorkin,Eddie Redmayne,Sacha Baron Cohen,"$35,000,000.00","$107,423.00",English,R
684,2016,Dec,07,77,Two Is a Family (2016),"['Drama', 'Comedy']",118,Hugo Gélin,Omar Sy,Gloria Colston,-,"$1,447,740.00",French,U
685,1971,Oct,20,77,"Duck, You Sucker (1971)",['Western'],157,Sergio Leone,Rod Steiger,James Coburn,-,-,Italian,PG
686,1998,Jun,19,77,The Celebration (1998),['Drama'],105,Thomas Vinterberg,Ulrich Thomsen,Henning Moritzen,"$1,300,000.00",-,Danish,11
687,2009,May,28,77,Mother (2009),"['Crime', 'Drama', 'Mystery', 'Thriller']",129,Bong Joon-ho,Kim Hye-ja,Won Bin,"$5,000,000.00","$17,112,713.00",Korean,18
688,1961,Sep,25,77,The Hustler (1961),"['Drama', 'Romance']",134,Robert Rossen,Paul Newman,Jackie Gleason,"$2,000,000.00","$7,600,000.00",English,NR
689,2015,Mar,23,77,Cobain: Montage of Heck (2015),"['Documentary', 'Music']",132,Brett Morgen,Kurt Cobain,Courtney Love,-,-,English,NR
690,1953,May,29,77,Stalag 17 (1953),"['Comedy', 'Thriller', 'War']",2,Billy Wilder,William Holden,Don Taylor,"$1,661,530.00",-,English,NR
691,2017,Feb,18,77,Sword Art Online: The Movie – Ordinal Scale (2017),"['Animation', 'Action', 'Adventure', 'Fantasy', 'Romance', 'Science Fiction']",119,Tomohiko Ito,Yoshitsugu Matsuoka,Haruka Tomatsu,-,"$20,725,409.00",Japanese,PG13
692,1971,Nov,03,77,Fiddler on the Roof (1971),"['Drama', 'Romance']",181,Norman Jewison,Chaim Topol,Norma Crane,"$9,000,000.00","$83,304,330.00",English,G
693,2017,Aug,23,77,BPM (Beats per Minute) (2017),['Drama'],135,Robin Campillo,Nahuel Pérez Biscayart,Arnaud Valois,"$6,600,000.00","$7,632,420.00",French,12
694,1956,Oct,05,77,The Ten Commandments (1956),"['Drama', 'History']",220,Cecil B. DeMille,Charlton Heston,Yul Brynner,"$13,000,000.00","$122,700,000.00",English,G
695,2010,Nov,26,77,The King's Speech (2010),"['Drama', 'History']",118,Tom Hooper,Colin Firth,Geoffrey Rush,"$15,000,000.00","$414,211,549.00",English,R
696,1999,Oct,15,77,The Straight Story (1999),['Drama'],112,David Lynch,Richard Farnsworth,Sissy Spacek,"$10,000,000.00","$6,203,044.00",English,G
697,2019,Jan,24,77,The Edge of Democracy (2019),['Documentary'],121,Petra Costa,Dilma Rousseff,Luiz Inácio Lula da Silva,-,-,Portuguese,PG13
698,2015,Dec,25,77,The Hateful Eight (2015),"['Drama', 'Mystery', 'Western']",188,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,"$44,000,000.00","$155,760,117.00",English,R
699,1962,Apr,11,77,Cléo from 5 to 7 (1962),['Drama'],90,Agnès Varda,Corinne Marchand,Antoine Bourseiller,-,-,French,12
700,1974,Jun,05,77,Ali: Fear Eats the Soul (1974),"['Romance', 'Drama']",93,Rainer Werner Fassbinder,Brigitte Mira,El Hedi ben Salem,"$130,000.00",-,German,12
701,1991,Oct,22,77,Beauty and the Beast (1991),"['Romance', 'Family', 'Animation', 'Fantasy']",84,Kirk Wise,Paige O'Hara,Robby Benson,"$25,000,000.00","$424,967,620.00",English,A
702,2022,May,11,77,The Valet (2022),"['Comedy', 'Romance']",124,Richard Wong,Eugenio Derbez,Samara Weaving,-,-,English,PG13
703,2008,Nov,12,77,Slumdog Millionaire (2008),"['Drama', 'Romance']",2,Danny Boyle,Dev Patel,Saurabh Shukla,"$15,000,000.00","$378,410,542.00",English,R
704,2021,Jun,04,77,Rurouni Kenshin: The Beginning (2021),"['Action', 'Adventure', 'Drama']",138,Keishi Ōtomo,Takeru Satoh,Kasumi Arimura,-,-,Japanese,R
705,2022,Mar,17,77,The Bad Guys (2022),"['Animation', 'Action', 'Adventure', 'Crime', 'Comedy']",100,Pierre Perifel,Sam Rockwell,Marc Maron,"$80,000,000.00","$248,000,000.00",English,PG
706,1961,Sep,25,77,Accattone (1961),['Drama'],117,Pier Paolo Pasolini,Franco Citti,Franca Pasut,-,-,Italian,NR
707,2010,Jun,17,77,Day &amp; Night (2010),"['Animation', 'Family']",6,Teddy Newton,Wayne Dyer,None,-,-,English,G
708,2021,Mar,24,77,Godzilla vs. Kong (2021),"['Action', 'Fantasy', 'Science Fiction']",114,Adam Wingard,Alexander Skarsgård,Millie Bobby Brown,"$200,000,000.00","$470,067,014.00",English,B
709,1993,Dec,22,77,Philadelphia (1993),['Drama'],126,Jonathan Demme,Tom Hanks,Denzel Washington,"$26,000,000.00","$206,678,440.00",English,PG13
710,2019,May,15,77,"The Gangster, the Cop, the Devil (2019)","['Crime', 'Action', 'Adventure']",110,Lee Won-tae,Ma Dong-seok,Kim Moo-yul,-,"$25,775,371.00",Korean,18
711,2008,Jul,19,77,Ponyo (2008),"['Animation', 'Fantasy', 'Family']",100,Hayao Miyazaki,Yuria Kozuki,Hiroki Doi,"$41,677,699.00","$202,404,009.00",Japanese,A
712,1922,Feb,16,77,Nosferatu (1922),"['Fantasy', 'Horror']",94,F. W. Murnau,Max Schreck,Gustav von Wangenheim,-,"$19,054.00",German,NR
713,2019,Aug,02,77,Father There Is Only One (2019),['Comedy'],95,Santiago Segura,Santiago Segura,Toni Acosta,"$3,400,000.00","$15,894,372.00",Spanish; Castilian,G
714,2019,May,23,77,The Traitor (2019),"['Drama', 'Crime', 'Thriller']",151,Marco Bellocchio,Pierfrancesco Favino,Maria Fernanda Cândido,-,-,Italian,R
715,2002,Nov,13,77,Harry Potter and the Chamber of Secrets (2002),"['Adventure', 'Fantasy']",161,Chris Columbus,Daniel Radcliffe,Rupert Grint,"$100,000,000.00","$876,688,482.00",English,A
716,1973,Dec,26,77,The Exorcist (1973),['Horror'],122,William Peter Blatty,Ellen Burstyn,Linda Blair,"$11,000,000.00","$441,306,145.00",English,R
717,1999,Dec,10,77,Magnolia (1999),['Drama'],189,Paul Thomas Anderson,Jeremy Blackman,Tom Cruise,"$37,000,000.00","$48,451,803.00",English,R
718,2014,Jul,01,77,Cowspiracy: The Sustainability Secret (2014),['Documentary'],90,Keegan Kuhn,Kip Andersen,None,$117.00,-,English,10
719,2008,Jun,12,77,Waltz with Bashir (2008),"['Drama', 'Animation', 'War', 'Documentary']",90,Ari Folman,Ari Folman,Mickey Leon,"$1,500,000.00","$11,179,372.00",Hebrew,12
720,1997,Nov,24,77,Geri's Game (1997),"['Animation', 'Family']",4,Jan Pinkava,Bob Peterson,None,-,-,English,G
721,1993,Dec,17,77,The Wrong Trousers (1993),"['Animation', 'Comedy', 'Family']",30,Nick Park,Peter Sallis,None,-,-,English,U
722,2014,Sep,13,77,Rurouni Kenshin Part III: The Legend Ends (2014),"['Action', 'Adventure', 'Drama', 'Fantasy']",135,Keishi Ōtomo,Takeru Satoh,Emi Takei,-,-,Japanese,R
723,2010,Oct,08,77,Inside Job (2010),['Documentary'],109,Charles Ferguson,Matt Damon,William Ackman,"$2,000,000.00","$7,871,522.00",English,PG13
724,2018,Mar,13,77,Ricky Gervais: Humanity (2018),['Comedy'],79,John L. Spencer,Ricky Gervais,None,-,-,English,R
725,1995,Sep,06,77,Fallen Angels (1995),"['Action', 'Romance', 'Crime']",98,Wong Kar-wai,Leon Lai,Charlie Yeung,-,-,Cantonese,15
726,2006,May,21,77,Azur &amp; Asmar: The Princes' Quest (2006),"['Animation', 'Family']",99,Michel Ocelot,Cyril Mourali,Karim M'Ribah,-,-,French,T
727,1990,Dec,05,77,Edward Scissorhands (1990),"['Fantasy', 'Drama', 'Romance']",105,Tim Burton,Johnny Depp,Winona Ryder,"$20,000,000.00","$53,000,000.00",English,PG13
728,2022,Mar,01,77,The Batman (2022),"['Crime', 'Mystery', 'Thriller']",177,Matt Reeves,Robert Pattinson,Zoë Kravitz,"$185,000,000.00","$770,836,163.00",English,B
729,2012,Oct,09,77,The Broken Circle Breakdown (2012),['Drama'],112,Felix van Groeningen,Veerle Baetens,Johan Heldenbergh,-,"$5,475,058.00",Dutch; Flemish,12
730,2004,Mar,17,77,The Chorus (2004),['Drama'],97,Christophe Barratier,Gérard Jugnot,François Berléand,-,-,French,PG
731,2004,Mar,04,77,Hotel Rwanda (2004),"['Drama', 'History', 'War']",121,Terry George,Don Cheadle,Sophie Okonedo,"$17,500,000.00","$38,000,000.00",English,PG13
732,2012,Apr,25,77,The Avengers (2012),"['Science Fiction', 'Action', 'Adventure']",143,Joss Whedon,Robert Downey Jr.,Chris Evans,"$220,000,000.00","$1,518,815,515.00",English,B
733,1965,Mar,29,77,The Sound of Music (1965),"['Drama', 'Family', 'Music', 'Romance']",175,Robert Wise,Julie Andrews,Christopher Plummer,"$8,200,000.00","$286,214,286.00",English,G
734,1965,Dec,09,77,A Charlie Brown Christmas (1965),"['Animation', 'Family', 'Comedy', 'TV Movie']",25,Bill Melendez,Peter Robbins,Christopher Shea,"$96,000.00",-,English,G
735,2012,Nov,01,77,The Act of Killing (2012),['Documentary'],159,Joshua Oppenheimer,Anwar Congo,Herman Koto,"$1,000,000.00","$444,575.00",Indonesian,NR
736,1956,Aug,24,77,The Red Balloon (1956),"['Comedy', 'Drama', 'Family', 'Fantasy']",34,Albert Lamorisse,Pascal Lamorisse,Georges Sellier,-,"$48,980.00",French,NR
737,1951,Jun,27,77,Strangers on a Train (1951),"['Crime', 'Thriller', 'Mystery']",101,Alfred Hitchcock,Farley Granger,Ruth Roman,"$1,200,000.00","$7,000,000.00",English,PG
738,2013,Sep,02,77,Rush (2013),"['Drama', 'Action']",123,Ron Howard,Chris Hemsworth,Daniel Brühl,"$38,000,000.00","$90,247,624.00",English,R
739,2001,May,18,77,Shrek (2001),"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']",90,Andrew Adamson,Mike Myers,Eddie Murphy,"$60,000,000.00","$487,853,320.00",English,A
740,2021,Apr,22,77,Wrath of Man (2021),"['Action', 'Crime', 'Thriller']",119,Guy Ritchie,Jason Statham,Holt McCallany,"$40,000,000.00","$103,966,489.00",English,B15
741,2020,Sep,24,77,Another Round (2020),"['Comedy', 'Drama']",117,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,"$5,150,000.00","$21,700,000.00",Danish,NR
742,1995,Apr,11,77,Underground (1995),"['Comedy', 'Drama', 'War']",170,Emir Kusturica,Miki Manojlović,Lazar Ristovski,"$14,000,000.00",-,Serbian,16
743,2016,Oct,21,77,Before the Flood (2016),['Documentary'],93,Fisher Stevens,Leonardo DiCaprio,Bill Clinton,-,-,English,PG
744,1950,Dec,04,77,Harvey (1950),"['Comedy', 'Fantasy']",104,Henry Koster,James Stewart,Josephine Hull,-,-,English,NR
745,1976,May,26,77,The Tenant (1976),"['Thriller', 'Horror', 'Drama']",126,Roman Polanski,Roman Polanski,Isabelle Adjani,-,"$5,100,000.00",English,R
746,1963,Dec,05,77,Charade (1963),"['Comedy', 'Mystery', 'Romance']",113,Peter Stone,Cary Grant,Audrey Hepburn,"$4,000,000.00","$13,475,000.00",English,PG
747,2009,Jul,07,77,Harry Potter and the Half-Blood Prince (2009),"['Adventure', 'Fantasy']",153,David Yates,Daniel Radcliffe,Rupert Grint,"$250,000,000.00","$933,959,197.00",English,B
748,1963,Mar,28,77,The Leopard (1963),['Drama'],186,Luchino Visconti,Burt Lancaster,Claudia Cardinale,-,-,Italian,12
749,1958,Aug,29,77,Cat on a Hot Tin Roof (1958),"['Drama', 'Romance']",108,Richard Brooks,Elizabeth Taylor,Paul Newman,"$3,000,000.00","$17,570,324.00",English,NR
750,1953,Oct,14,77,The Big Heat (1953),"['Crime', 'Drama', 'Thriller']",89,Fritz Lang,Glenn Ford,Gloria Grahame,-,-,English,NR
751,2004,Oct,27,77,The Incredibles (2004),"['Action', 'Adventure', 'Animation', 'Family']",115,Brad Bird,Craig T. Nelson,Holly Hunter,"$92,000,000.00","$631,442,092.00",English,A
752,1939,Mar,03,77,Stagecoach (1939),"['Western', 'Adventure', 'Action', 'Drama', 'Romance']",96,John Ford,John Wayne,Claire Trevor,"$531,374.00","$1,103,757.00",English,NR
753,2014,Dec,18,77,PK (2014),"['Comedy', 'Drama', 'Science Fiction']",153,Rajkumar Hirani,Aamir Khan,Anushka Sharma,"$13,000,000.00","$120,000,000.00",Hindi,PG13
754,1961,Oct,06,77,Breakfast at Tiffany's (1961),"['Comedy', 'Romance']",114,Blake Edwards,Audrey Hepburn,George Peppard,"$2,500,000.00","$9,500,000.00",English,NR
755,2020,Feb,28,77,All the Bright Places (2020),"['Romance', 'Drama']",108,Jennifer Niven,Elle Fanning,Justice Smith,-,-,English,M18
756,2016,Mar,31,77,Hunt for the Wilderpeople (2016),"['Adventure', 'Comedy', 'Drama']",101,Taika Waititi,Sam Neill,Julian Dennison,"$2,500,000.00","$23,200,000.00",English,PG13
757,1967,Mar,08,77,The Young Girls of Rochefort (1967),"['Romance', 'Comedy', 'Drama']",126,Jacques Demy,Catherine Deneuve,Françoise Dorléac,-,-,French,G
758,1976,Jan,18,77,All the President's Men (1976),"['Drama', 'History', 'Mystery', 'Thriller']",138,Alan J. Pakula,Dustin Hoffman,Robert Redford,"$8,500,000.00","$70,600,000.00",English,PG
759,1947,Nov,25,77,Out of the Past (1947),"['Crime', 'Drama', 'Romance', 'Thriller']",97,Daniel Mainwaring,Robert Mitchum,Jane Greer,-,-,English,
760,2019,Sep,10,77,Corpus Christi (2019),['Drama'],116,Jan Komasa,Bartosz Bielenia,Aleksandra Konieczna,-,-,Polish,M16
761,1945,Oct,20,77,Mildred Pierce (1945),"['Crime', 'Drama']",111,Michael Curtiz,Joan Crawford,Jack Carson,"$1,453,000.00","$5,638,000.00",English,NR
762,2005,Jun,10,77,Batman Begins (2005),"['Action', 'Crime', 'Drama']",140,Christopher Nolan,Christian Bale,Michael Caine,"$150,000,000.00","$374,218,673.00",English,B
763,2002,May,24,77,Spirit: Stallion of the Cimarron (2002),"['Western', 'Animation', 'Adventure', 'Comedy', 'Family', 'Drama']",83,Kelly Asbury,Matt Damon,James Cromwell,"$80,000,000.00","$122,563,539.00",English,G
764,2007,Jun,28,77,Harry Potter and the Order of the Phoenix (2007),"['Adventure', 'Fantasy', 'Mystery']",138,David Yates,Daniel Radcliffe,Rupert Grint,"$150,000,000.00","$938,212,738.00",English,B
765,2020,Jun,13,77,Z-O-M-B-I-E-S 2 (2020),"['Music', 'Romance', 'TV Movie']",84,Paul Hoen,Milo Manheim,Meg Donnelly,-,-,English,G
766,2012,May,16,77,Moonrise Kingdom (2012),"['Comedy', 'Drama', 'Romance']",94,Wes Anderson,Bruce Willis,Jared Gilman,"$16,000,000.00","$68,263,166.00",English,PG13
767,1952,Jun,09,77,High Noon (1952),['Western'],85,John W. Cunningham,Gary Cooper,Grace Kelly,"$730,000.00","$8,000,000.00",English,U
768,2014,Oct,23,77,Nightcrawler (2014),"['Crime', 'Drama', 'Thriller']",118,Dan Gilroy,Jake Gyllenhaal,Rene Russo,"$8,500,000.00","$50,300,000.00",English,R
769,1967,Aug,02,77,In the Heat of the Night (1967),"['Crime', 'Drama', 'Mystery', 'Thriller']",109,Norman Jewison,Sidney Poitier,Rod Steiger,"$2,000,000.00","$27,379,978.00",English,PG13
770,2014,Jan,08,77,Boys (2014),['Drama'],78,Mischa Kamp,Gijs Blom,Ko Zandvliet,-,-,Dutch; Flemish,0
771,1989,Jul,06,77,The Killer (1989),"['Action', 'Crime', 'Drama', 'Thriller']",110,John Woo,Chow Yun-Fat,Danny Lee Sau-Yin,-,-,Cantonese,R
772,1971,Jan,29,77,The Conformist (1971),['Drama'],108,Bernardo Bertolucci,Jean-Louis Trintignant,Stefania Sandrelli,"$750,000.00",-,Italian,R
773,2019,Aug,14,77,Hair Love (2019),"['Animation', 'Family', 'Drama']",7,Matthew A. Cherry,Issa Rae,None,"$284,058.00",-,English,G
774,1972,Dec,10,77,Sleuth (1972),"['Mystery', 'Thriller', 'Crime']",138,Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,"$3,500,000.00","$5,750,000.00",English,PG
775,1951,Sep,18,77,A Streetcar Named Desire (1951),['Drama'],125,Elia Kazan,Vivien Leigh,Marlon Brando,"$1,800,000.00","$8,000,000.00",English,PG
776,1985,Feb,20,77,Brazil (1985),"['Comedy', 'Science Fiction']",143,Terry Gilliam,Jonathan Pryce,Kim Greist,"$15,000,000.00","$9,900,000.00",English,R
777,2008,May,28,77,Il Divo (2008),['Drama'],113,Paolo Sorrentino,Toni Servillo,Anna Bonaiuto,"$7,275,000.00","$11,260,366.00",Italian,NR
778,1998,Jun,01,77,"Black Cat, White Cat (1998)","['Comedy', 'Romance', 'Crime']",127,Emir Kusturica,Bajram Severdzhan,Srđan Todorović,-,-,Serbian,R
779,2015,May,25,77,Embrace of the Serpent (2015),"['Drama', 'Adventure']",125,Ciro Guerra,Nilbio Torres,Antonio Bolívar,"$1,400,000.00","$1,320,005.00",Spanish; Castilian,AL
780,1973,Dec,01,77,Fantastic Planet (1973),"['Animation', 'Science Fiction']",72,René Laloux,Gérard Hernandez,Jean Valmont,-,-,French,PG
781,2017,Jun,03,77,Icarus (2017),['Documentary'],121,Bryan Fogel,Bryan Fogel,Dave Zabriskie,-,-,English,12
782,1957,Jul,04,77,Sweet Smell of Success (1957),['Drama'],97,Ernest Lehman,Burt Lancaster,Tony Curtis,"$3,400,000.00","$2,500,000.00",English,PG
783,2010,Aug,04,77,The Man from Nowhere (2010),"['Action', 'Thriller', 'Crime']",119,Lee Jeong-beom,Won Bin,Kim Sae-ron,"$1,255,000.00","$43,059,790.00",Korean,R
784,1979,Feb,09,77,The Warriors (1979),"['Action', 'Thriller']",94,Walter Hill,Michael Beck,James Remar,"$4,000,000.00","$22,490,039.00",English,R
785,1956,Jun,06,77,The Killing (1956),"['Crime', 'Drama', 'Thriller']",85,Stanley Kubrick,Sterling Hayden,Coleen Gray,"$320,000.00",-,English,NR
786,2020,Jun,19,77,Feel the Beat (2020),"['Comedy', 'Music', 'Drama']",107,Elissa Down,Sofia Carson,Wolfgang Novogratz,-,-,English,G
787,2001,Sep,01,77,Cowboy Bebop: The Movie (2001),"['Action', 'Animation', 'Science Fiction']",115,Shinichiro Watanabe,Koichi Yamadera,Unsho Ishizuka,-,-,Japanese,R
788,1995,May,28,77,The Bridges of Madison County (1995),"['Drama', 'Romance']",135,Clint Eastwood,Clint Eastwood,Meryl Streep,"$24,000,000.00","$182,016,617.00",English,PG13
789,1998,Sep,22,77,Scooby-Doo on Zombie Island (1998),"['Animation', 'Fantasy', 'Mystery', 'Family']",77,Glenn Leopold,Scott Innes,Billy West,-,-,English,PG
790,1991,Dec,27,77,Fried Green Tomatoes (1991),"['Drama', 'Comedy']",130,Fannie Flagg,Kathy Bates,Jessica Tandy,"$11,000,000.00","$119,418,501.00",English,PG13
791,2019,Nov,14,77,The Gentlemen (2019),"['Comedy', 'Crime']",113,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,"$22,000,000.00","$114,996,853.00",English,R
792,2014,Jun,13,77,Winter Sleep (2014),['Drama'],196,Nuri Bilge Ceylan,Haluk Bilginer,Melisa Sözen,-,-,Turkish,12
793,2014,Mar,20,77,Captain America: The Winter Soldier (2014),"['Action', 'Adventure', 'Science Fiction']",136,Joe Russo,Chris Evans,Scarlett Johansson,"$170,000,000.00","$714,766,572.00",English,B
794,1966,Apr,07,77,For Love and Gold (1966),"['Adventure', 'Comedy']",2,Mario Monicelli,Vittorio Gassman,Catherine Spaak,-,"$1,314,230.00",Italian,16
795,1993,Aug,01,77,Three Colors: Blue (1993),['Drama'],98,Krzysztof Kieślowski,Juliette Binoche,Benoît Régent,-,-,French,R
796,2017,Jun,28,77,Faces Places (2017),['Documentary'],94,JR,Agnès Varda,JR,-,"$1,108,983.00",French,U
797,2013,May,27,77,Free Fall (2013),"['Drama', 'Romance']",100,Stephan Lacant,Hanno Koffler,Max Riemelt,-,-,German,NR
798,2012,May,18,77,Laurence Anyways (2012),"['Drama', 'Romance']",168,Xavier Dolan,Melvil Poupaud,Suzanne Clément,"$9,500,000.00",-,French,PG13
799,1993,Dec,17,77,What's Eating Gilbert Grape (1993),"['Romance', 'Drama']",118,Peter Hedges,Johnny Depp,Leonardo DiCaprio,"$11,000,000.00","$10,032,765.00",English,PG13
800,1953,Sep,17,77,I Vitelloni (1953),"['Comedy', 'Drama']",103,Federico Fellini,Franco Interlenghi,Alberto Sordi,-,-,Italian,T
801,2018,Oct,05,77,Andhadhun (2018),"['Crime', 'Thriller', 'Comedy']",139,Sriram Raghavan,Ayushmann Khurrana,Radhika Apte,"$4,500,000.00","$40,000,000.00",Hindi,R
802,2018,Aug,16,77,To All the Boys I've Loved Before (2018),"['Comedy', 'Romance']",100,Susan Johnson,Lana Condor,Noah Centineo,-,-,English,PG13
803,2019,Dec,04,77,Spies in Disguise (2019),"['Animation', 'Action', 'Adventure', 'Comedy', 'Family']",102,Troy Quane,Will Smith,Tom Holland,"$100,000,000.00","$171,616,764.00",English,AA
804,2015,Jun,11,77,Victoria (2015),"['Crime', 'Thriller', 'Romance']",138,Sebastian Schipper,Laia Costa,Frederick Lau,-,"$3,191,971.00",German,12
805,2005,Dec,06,77,Memoirs of a Geisha (2005),"['Drama', 'Romance', 'History']",146,Rob Marshall,Zhang Ziyi,Gong Li,"$85,000,000.00","$162,242,962.00",English,B15
806,2019,Aug,15,77,Heroic Losers (2019),"['Comedy', 'Thriller']",116,Sebastián Borensztein,Ricardo Darín,Luis Brandoni,-,"$7,364,054.00",Spanish; Castilian,12
807,2013,Jul,20,77,Instructions Not Included (2013),"['Comedy', 'Drama']",122,Eugenio Derbez,Eugenio Derbez,Loreto Peralta,"$5,500,000.00","$99,067,206.00",Spanish; Castilian,PG13
808,2014,Jun,05,77,How to Train Your Dragon 2 (2014),"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",102,Dean DeBlois,Jay Baruchel,Cate Blanchett,"$145,000,000.00","$621,537,500.00",English,AA
809,2016,May,13,77,Don't Blame the Kid (2016),"['Comedy', 'Romance']",113,Gustavo Loza,Karla Souza,Ricardo Abarca,-,-,Spanish; Castilian,12
810,1990,May,11,77,Dreams (1990),"['Fantasy', 'Drama']",119,Akira Kurosawa,Akira Terao,Mitsuko Baisho,-,-,Japanese,PG
811,2015,Sep,30,77,The Martian (2015),"['Drama', 'Adventure', 'Science Fiction']",141,Ridley Scott,Matt Damon,Jessica Chastain,"$108,000,000.00","$630,161,890.00",English,B
812,1999,Apr,16,77,All About My Mother (1999),"['Comedy', 'Drama']",101,Pedro Almodóvar,Cecilia Roth,Marisa Paredes,"$8,272,296.00","$67,872,296.00",Spanish; Castilian,R
813,2018,Aug,25,77,Roma (2018),['Drama'],135,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,"$15,000,000.00","$1,140,769.00",Spanish; Castilian,C
814,2013,Oct,16,77,Tangerines (2013),"['Drama', 'War']",87,Zaza Urushadze,Lembit Ulfsak,Giorgi Nakashidze,-,-,Estonian,PG13
815,1986,Aug,27,77,Jean de Florette (1986),['Drama'],2,Claude Berri,Yves Montand,Gérard Depardieu,"$4,940,939.00",-,French,PG
816,1946,Aug,23,77,The Big Sleep (1946),"['Crime', 'Mystery', 'Thriller']",114,Howard Hawks,Humphrey Bogart,Lauren Bacall,"$1,600,000.00","$4,900,000.00",English,NR
817,2021,Feb,12,77,To All the Boys: Always and Forever (2021),"['Romance', 'Comedy', 'Drama']",115,Michael Fimognari,Lana Condor,Noah Centineo,-,-,English,PG13
818,1986,May,09,77,The Sacrifice (1986),['Drama'],149,Andrei Tarkovsky,Erland Josephson,Susan Fleetwood,-,"$316,043.00",Swedish,U
819,1988,Dec,08,77,Mississippi Burning (1988),"['Drama', 'Thriller', 'Crime', 'History', 'Mystery']",128,Alan Parker,Gene Hackman,Willem Dafoe,"$15,000,000.00","$34,604,000.00",English,R
820,1961,May,17,77,Viridiana (1961),['Drama'],90,Luis Buñuel,Silvia Pinal,Francisco Rabal,-,"$679,244.00",Spanish; Castilian,U
821,1987,Sep,25,77,The Princess Bride (1987),"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']",99,William Goldman,Cary Elwes,Robin Wright,"$16,000,000.00","$30,861,665.00",English,PG
822,2006,Jul,26,77,Little Miss Sunshine (2006),"['Comedy', 'Drama']",102,Valerie Faris,Greg Kinnear,Toni Collette,"$8,000,000.00","$100,523,181.00",English,R
823,2009,Nov,20,77,The Blind Side (2009),['Drama'],129,John Lee Hancock,Sandra Bullock,Tim McGraw,"$29,000,000.00","$309,208,309.00",English,B
824,2021,Oct,13,77,Encanto (2021),"['Animation', 'Comedy', 'Family', 'Fantasy']",102,Jared Bush,Stephanie Beatriz,María Cecilia Botero,"$50,000,000.00","$253,000,000.00",English,PG
825,1998,Dec,22,77,Lucky and Zorba (1998),"['Family', 'Animation']",75,Enzo D'Alò,Carlo Verdone,Luis Sepúlveda,-,-,Italian,U
826,1971,Oct,03,77,The Last Picture Show (1971),['Drama'],119,Peter Bogdanovich,Timothy Bottoms,Cybill Shepherd,"$1,300,000.00","$29,133,000.00",English,R
827,1940,Dec,05,77,The Philadelphia Story (1940),"['Comedy', 'Romance']",113,George Cukor,Cary Grant,Katharine Hepburn,-,-,English,NR
828,2017,Nov,04,77,One Cut of the Dead (2017),"['Comedy', 'Horror']",96,Shinichiro Ueda,Takayuki Hamatsu,Yuzuki Akiyama,"$30,000.00","$200,000,000.00",Japanese,15
829,2019,Apr,10,77,Breakthrough (2019),['Drama'],116,Roxann Dawson,Chrissy Metz,Josh Lucas,-,-,English,PG
830,2000,Dec,15,77,Ask Me If I Am Happy (2000),['Comedy'],100,Aldo Baglio,Aldo Baglio,Giovanni Storti,-,-,Italian,T
831,1945,Nov,29,77,The Lost Weekend (1945),['Drama'],101,Billy Wilder,Ray Milland,Jane Wyman,"$1,250,000.00","$11,000,000.00",English,NR
832,2007,Sep,01,77,Evangelion: 1.0 You Are (Not) Alone (2007),"['Animation', 'Science Fiction', 'Action', 'Drama']",101,Hideaki Anno,Megumi Ogata,Megumi Hayashibara,-,"$20,000,000.00",Japanese,B15
833,2022,Jul,15,77,Where the Crawdads Sing (2022),"['Drama', 'Mystery', 'Thriller']",125,Olivia Newman,Daisy Edgar-Jones,Taylor John Smith,-,"$127,000,000.00",English,PG13
834,2007,Sep,29,77,Sword of the Stranger (2007),"['Action', 'Animation', 'History']",103,Masahiro Ando,Tomoya Nagase,Yuri Chinen,-,-,Japanese,NR
835,1949,Jun,21,77,Kind Hearts and Coronets (1949),"['Comedy', 'Drama']",104,Robert Hamer,Dennis Price,Valerie Hobson,-,-,English,U
836,2016,Aug,18,77,Kubo and the Two Strings (2016),"['Animation', 'Adventure', 'Family']",102,Marc Haimes,Art Parkinson,Charlize Theron,"$60,000,000.00","$76,249,438.00",English,A
837,2010,Dec,03,77,Black Swan (2010),"['Drama', 'Thriller', 'Horror']",108,Andres Heinz,Natalie Portman,Mila Kunis,"$13,000,000.00","$329,398,046.00",English,B15
838,1967,Dec,21,77,The Graduate (1967),"['Comedy', 'Drama', 'Romance']",106,Mike Nichols,Anne Bancroft,Dustin Hoffman,"$3,000,000.00","$104,945,305.00",English,B
839,2000,Dec,22,77,Cast Away (2000),"['Adventure', 'Drama']",143,Robert Zemeckis,Tom Hanks,Helen Hunt,"$90,000,000.00","$429,632,142.00",English,PG13
840,1997,Oct,30,77,Fireworks (1997),"['Crime', 'Drama']",103,Takeshi Kitano,Takeshi Kitano,Kayoko Kishimoto,-,-,Japanese,B15
